Rank,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
85,Harvey,Andy Weatherall,Alan Thompson,Tony Humphries,Marco V,Hybrid,2manyDJs,Chris Fortier,Plump DJs,Fergie,Lee Burridge,Solar System,Sied Van Riel,Pete Tong,AN21,Feed Me,DJ Skazi
86,Boris Dlugosch,Kerri Chandler,Pete Wardman,MYNC Project,Craig Richards,Gilles Peterson,Cosmic Gate,Remy,Miss Kittin,Talla 2 XLC,Armand Van Helden,DJ Skazi,Tiga,Bloody Beetroots,Bloody Beetroots,Mike Candys,Da Tweekaz
87,Surgeon,DJ Vibe,Full Intention,The Dreem Team,Matt Hardwick,Adam Freeland,The Thrillseekers,Seb Fontaine,Felix Da Housecat,Ronski Speed,Magda,Mike Koglin,Daniel Kandi,Arnej,Felguk,Andy Moor,Tenashar
88,Claudio Coccoluto,Harri,Colin Tevendale,Andy C,Grooverider,Smokin Jo,Chris Liebing,Nic Fanciulli,Christian Cambas,Lee Burridge,Dave Seaman,Mauro Picotto,Mike Koglin,Joris Voorn,Nero,Ran-D,Bob Sinclar
89,Gilles Peterson,Alan Thompson,Chris Coco,Ian M,The Chemical Brothers,Stonebridge,Layo & Bushwacka,James Lavelle,Scot Project,Mario Piu,Victor Calderone,Sebastien Leger,Luciano,Dada Life,Juanjo Martin,Richard Durand,Benny Benassi
90,Brisk,DJ Rap,Craig Dimech,Scratch Perverts,Francois K,James Holden,Frankie Knuckles,Proteus,Cosmic Gate,Axel Karakasis,Dave Clarke,The Chemical Brothers,Yahel,Noisecontrollers,Boy George,Felguk,Stafford Brothers
91,Dimitri From Paris,Tom Wainwright,Kerri Chandler,Alan Thompson,Jon Carter,Joy Kitikonti,Dave Lee/Joey Negro,Rank 1,Matt Darey,Steve Porter,Richard Durand,Steve Lawler,Myon & Shane 54,Showtek,Tenishia,Paul Kalkbrenner,Bl3nd
92,Juan Atkins,DJ Shadow,Andy Smith,Grooverider,X-Press 2,Paul Glazby,Slam,BT,DJ Sammy,Yoji Biomehanika,Westbam,Fatboy Slim,John B,Laurent Wolf,Sidney Samson,Moonbeam,Paul Oakenfold
93,Carl Craig,Phil Smart,Smokin Jo,Sandra Collins,Graham Gold,Bad Boy Bill,DJ Sneak,DJ Shadow,Proteus,Axwell,Sebastien Leger,Solarstone,Simon Posford,Claudia Cazacu,Dirty South,Sean Tyas,Mat Zo
94,Lisa Loud,Jon The Dentist,Mickey Finn,DJ Dan,Parks and Wilson,Chris Liberator,Cor Fijneman,Zinc,DJ Luna,Stanton Warriors,Chus & Ceballos,Astral Projection,Fatboy Slim,Calvin Harris,James Zabiela,Bob Sinclar,Diego Miranda
95,Francois K,Basement Jaxx,Matthias Hellbronn,Andy Morris,Frankie Knuckles,Cass,Scott Bond,Lisa Pin-up,Moshic,Dave Seaman,Wally Lopez,Leon Bolier,Robbie Rivera,Luciano,Marcel Woods,Netsky,DJs From Mars
96,Mr C,Armand Van Helden,Dope Smugglaz,Mr Scruff,Basement Jaxx,Mr Scruff,Yousef,Marco Bailey,Max Graham,Robbie Rivera,Booka Shade,Nic Fanciulli,Antoine Clamaran,Marcus Schossow,Porter Robinson,Neelix,Matt Darey
97,Smokin Jo,DJ EZ,Steve Hurley,Josh Wink,Fabio,Rob Tissera,Graham Gold,Darude,Amadeus,Andy C,Adam Beyer,Ronski Speed,Nic Fanciulli,Sied Van Riel,Sven Vath,Mark Knight,Umek
98,Stu Allen,Force & Styles,Mark Moore,Stonebridge,Gigi D'Agostino,Tony Humphries,Guy Ornadel,Andy Farley,Gigi D'Agostino,Agnelli & Nelson,Dirty South,Tocadisco,Gui Boratto,The Thrillseekers,Brennan Heart,John Digweed,Solarstone
99,Deep Dish,Andy Smith,Steve Lawler,Lisa Loud,Doc Martin,Meat Katie,Smokin Jo,Ronald van Gelderen,Marco Bailey,Lisa Lashes,Erol Alkan,Booka Shade,Alex M.O.R.P.H.,Justice,Leon Bolier,Da Tweekaz,Ummet Ozcan
100,Rachel Aubern,Justin Robertson,Jose Padilla,Krafty Kuts,Slam,Grooverider,Marco Carola,Mark Farina,Magda,Dave Clarke,Laurent Garnier,Alex Morph & Woody Van Eyden,Andy C,DJ Vibe,Boys Noize,Project 46,Ran-D
